"pc_1";"cluster";"score(cluster_0)";"score(cluster_1)";"score(cluster_2)";"score(cluster_3)";"score(cluster_4)"
-3000.5622071330836;"Noise";5800.0138047737655;3799.9867262812445;799.9887064404625;2800.0052360354503;1799.9909996905103
2799.4515976406824;"cluster_0";0.0;1999.969625750858;4999.979422374162;2999.980002441086;4000.0007773840434
2799.4515976406824;"cluster_0";0.0;1999.969625750858;4999.979422374162;2999.980002441086;4000.0007773840434
-4200.570690799171;"Noise";7000.022288439854;4999.995209947331;1999.9971901065496;4000.0137197015374;2999.9994833565975
-4200.570690799171;"Noise";7000.022288439854;4999.995209947331;1999.9971901065496;4000.0137197015374;2999.9994833565975
-4200.570703582144;"Noise";7000.022301222827;4999.995222730305;1999.9972028895231;4000.013732484511;2999.999496139571
-3700.5617261842604;"Noise";6500.013323824943;4499.986245332421;1499.9882254916392;3500.004755086627;2499.990518741687
799.4657373550211;"cluster_1";1999.9858602856611;0.0;2999.9935620885008;999.9941421554246;2000.0149170983823
799.4657373550211;"cluster_1";1999.9858602856611;0.0;2999.9935620885008;999.9941421554246;2000.0149170983823
799.4657373550211;"cluster_1";1999.9858602856611;0.0;2999.9935620885008;999.9941421554246;2000.0149170983823
799.4245191481608;"cluster_1";2000.0270784925215;0.0;2999.9523438816404;999.9529239485643;1999.973698891522
799.4657373550211;"cluster_1";1999.9858602856611;0.0;2999.9935620885008;999.9941421554246;2000.0149170983823
799.4245191481608;"cluster_1";2000.0270784925215;0.0;2999.9523438816404;999.9529239485643;1999.973698891522
799.4245202312229;"cluster_1";2000.0270774094595;0.0;2999.952344964702;999.9529250316264;1999.9736999745842
799.4245202312229;"cluster_1";2000.0270774094595;0.0;2999.952344964702;999.9529250316264;1999.9736999745842
799.4245202312229;"cluster_1";2000.0270774094595;0.0;2999.952344964702;999.9529250316264;1999.9736999745842
-3200.562873216244;"Noise";6000.014470856926;3999.987392364405;999.9893725236229;3000.0059021186107;1999.9916657736708
799.4245353573075;"cluster_1";2000.027062283375;0.0;2999.952360090787;999.9529401577109;1999.9737151006689
-3200.5628862217163;"Noise";6000.014483862398;3999.9874053698773;999.9893855290952;3000.005915124083;1999.991678779143
799.4658262962681;"cluster_1";1999.9857713444144;0.0;2999.9936510297475;999.9942310966716;2000.0150060396295
799.465825213206;"cluster_1";1999.9857724274764;0.0;2999.9936499466858;999.9942300136095;2000.0150049565673
799.465825213206;"cluster_1";1999.9857724274764;0.0;2999.9936499466858;999.9942300136095;2000.0150049565673
799.465825213206;"cluster_1";1999.9857724274764;0.0;2999.9936499466858;999.9942300136095;2000.0150049565673
799.465825213206;"cluster_1";1999.9857724274764;0.0;2999.9936499466858;999.9942300136095;2000.0150049565673
799.4658241301439;"cluster_1";1999.9857735105384;0.0;2999.9936488636235;999.9942289305474;2000.015003873505
799.4754144953306;"cluster_1";1999.9761831453518;0.0;3000.0032392288103;1000.003819295734;2000.0245942386919
799.4658241301439;"cluster_1";1999.9857735105384;0.0;2999.9936488636235;999.9942289305474;2000.015003873505
799.4658230470817;"cluster_1";1999.9857745936006;0.0;2999.9936477805613;999.9942278474851;2000.0150027904428
799.4658230470817;"cluster_1";1999.9857745936006;0.0;2999.9936477805613;999.9942278474851;2000.0150027904428
799.4658230470817;"cluster_1";1999.9857745936006;0.0;2999.9936477805613;999.9942278474851;2000.0150027904428
-3100.567685582082;"Noise";5900.019283222764;3899.992204730243;899.9941848894609;2900.0107144844487;1899.9964781395088
-3100.567698587555;"Noise";5900.019296228237;3899.9922177357157;899.9941978949337;2900.0107274899215;1899.9964911449815
-400.53415244104883;"Noise";3199.985750081731;1199.9586715892096;1799.9936722924308;199.97718134341537;800.0150273023124
-2200.573500692621;"cluster_2";5000.0250983333035;2999.998019840782;0.0;2000.0165295949876;1000.0022932500478
799.4659119883288;"cluster_1";1999.9856856523536;0.0;2999.993736721808;999.9943167887322;2000.01509173169
-2200.573500692621;"cluster_2";5000.0250983333035;2999.998019840782;0.0;2000.0165295949876;1000.0022932500478
-2200.573500692621;"cluster_2";5000.0250983333035;2999.998019840782;0.0;2000.0165295949876;1000.0022932500478
799.465913071391;"cluster_1";1999.9856845692914;0.0;2999.9937378048708;999.9943178717945;2000.0150928147523
799.465913071391;"cluster_1";1999.9856845692914;0.0;2999.9937378048708;999.9943178717945;2000.0150928147523
799.465913071391;"cluster_1";1999.9856845692914;0.0;2999.9937378048708;999.9943178717945;2000.0150928147523
799.4659119883288;"cluster_1";1999.9856856523536;0.0;2999.993736721808;999.9943167887322;2000.01509173169
799.4659119883288;"cluster_1";1999.9856856523536;0.0;2999.993736721808;999.9943167887322;2000.01509173169
799.4659119883288;"cluster_1";1999.9856856523536;0.0;2999.993736721808;999.9943167887322;2000.01509173169
799.4659109052667;"cluster_1";1999.9856867354156;0.0;2999.9937356387463;999.9943157056701;2000.0150906486278
799.4659119883288;"cluster_1";1999.9856856523536;0.0;2999.993736721808;999.9943167887322;2000.01509173169
799.4659109052667;"cluster_1";1999.9856867354156;0.0;2999.9937356387463;999.9943157056701;2000.0150906486278
799.4659119883288;"cluster_1";1999.9856856523536;0.0;2999.993736721808;999.9943167887322;2000.01509173169
799.4659109052667;"cluster_1";1999.9856867354156;0.0;2999.9937356387463;999.9943157056701;2000.0150906486278
799.4659119883288;"cluster_1";1999.9856856523536;0.0;2999.993736721808;999.9943167887322;2000.01509173169
799.4659271144135;"cluster_1";1999.985670526269;0.0;2999.993751847893;999.9943319148169;2000.0151068577748
